type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC2-BL1A,Ethernet1,172.31.252.9/31,N/A,DC2-SPINE1,Ethernet3,172.31.252.8/31,N/A
L3 Leaf,DC2-BL1A,Ethernet2,172.31.252.11/31,N/A,DC2-SPINE2,Ethernet3,172.31.252.10/31,N/A
L3 Leaf,DC2-BL1B,Ethernet1,172.31.252.13/31,N/A,DC2-SPINE1,Ethernet4,172.31.252.12/31,N/A
L3 Leaf,DC2-BL1B,Ethernet2,172.31.252.15/31,N/A,DC2-SPINE2,Ethernet4,172.31.252.14/31,N/A
L3 Leaf,DC2-LEAF1A,Ethernet1,172.31.252.1/31,N/A,DC2-SPINE1,Ethernet1,172.31.252.0/31,N/A
L3 Leaf,DC2-LEAF1A,Ethernet2,172.31.252.3/31,N/A,DC2-SPINE2,Ethernet1,172.31.252.2/31,N/A
L3 Leaf,DC2-LEAF1B,Ethernet1,172.31.252.5/31,N/A,DC2-SPINE1,Ethernet2,172.31.252.4/31,N/A
L3 Leaf,DC2-LEAF1B,Ethernet2,172.31.252.7/31,N/A,DC2-SPINE2,Ethernet2,172.31.252.6/31,N/A
L2 Leaf,DC2-L2LEAF1A,Ethernet1,N/A,Po1,DC2-LEAF1A,Ethernet3,N/A,Po3
L2 Leaf,DC2-L2LEAF1A,Ethernet2,N/A,Po1,DC2-LEAF1B,Ethernet3,N/A,Po3
