test_id,node,test_category,test_description,test,result,failure_reason
1,DC1-L2LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
2,DC1-L2LEAF2A,NTP,Synchronised with NTP server,NTP,PASS
3,DC1-L2LEAF2B,NTP,Synchronised with NTP server,NTP,PASS
4,DC1-LEAF1A,NTP,Synchronised with NTP server,NTP,PASS
5,DC1-LEAF2A,NTP,Synchronised with NTP server,NTP,PASS
6,DC1-LEAF2B,NTP,Synchronised with NTP server,NTP,PASS
7,DC1-SPINE1,NTP,Synchronised with NTP server,NTP,PASS
8,DC1-SPINE2,NTP,Synchronised with NTP server,NTP,PASS
9,DC1-SPINE3,NTP,Synchronised with NTP server,NTP,PASS
10,DC1-SPINE4,NTP,Synchronised with NTP server,NTP,PASS
11,DC1-SVC3A,NTP,Synchronised with NTP server,NTP,PASS
12,DC1-SVC3B,NTP,Synchronised with NTP server,NTP,PASS
13,DC1-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-LEAF2A_Ethernet7,PASS
14,DC1-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-LEAF2B_Ethernet7,PASS
15,DC1-L2LEAF1A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - server-1_Eth1,PASS
16,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-SVC3A_Ethernet7,PASS
17,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-SVC3B_Ethernet7,PASS
18,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-L2LEAF2B_Ethernet3,PASS
19,DC1-L2LEAF2A,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - MLAG_PEER_DC1-L2LEAF2B_Ethernet4,PASS
20,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - DC1-SVC3A_Ethernet8,PASS
21,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - DC1-SVC3B_Ethernet8,PASS
22,DC1-L2LEAF2B,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - MLAG_PEER_DC1-L2LEAF2A_Ethernet3,PASS
